controlNumber,prefLabel,scopeNote,prefLabelEnglish,embeddingPromptEnglish,translationModel,translationPromptVersion
226408,Biosfären,,biosphere,A photograph depicting biosphere.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
296554,Biosfärområden,"- miljöfrågor Uh, - samhällsplanering Odg.",biosphere regions,A photograph depicting biosphere regions.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141067,Biostratigrafi,,biostratigraphy,A photograph depicting biostratigraphy.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141068,Biosyntes,,bio synthesis,A photograph depicting bio synthesis.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
380766,Biosäkerhet,"""Förenklat handlar biosäkerhet om att förhindra oavsiktlig smitta med biologiskt laboratoriematerial medan bioskydd snarare handlar om att förhindra avsiktlig spridning.""",biological safety,A photograph depicting biological safety.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141069,Bioteknik,,biotechnology,A photograph depicting biotechnology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
270043,Bioteknik i lantbruket,,agricultural biotechnology,A photograph depicting agricultural biotechnology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
245973,Bioteknikindustri,Särsk företag Qz.,biotech industry,A photograph depicting biotech industry.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
328818,Bioteknikindustri i massmedia,,biotechnology industry in media,A photograph depicting biotechnology industry in media.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
245607,Bioterrorism,,bioterrorism,A photograph depicting bioterrorism.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141070,Biotoper,,habitats,A photograph depicting habitats.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141071,Biovetenskaper,,biological sciences,A photograph depicting biological sciences.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
153366,Bipolär sjukdom,,bipolar disorder,A photograph depicting bipolar disorder.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141073,Birkarlar,,Birkarlar,A photograph depicting Birkarlar.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141074,Birkebeinar,,Birkebeiner,A photograph depicting Birkebeiner.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141076,Bisamråttor,,Birchmarten,A photograph depicting Birchmarten.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168204,Bisatser,Se även resp språk med tillägg .013.,bathing suits,A photograph depicting bathing suits.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141077,Bisexualitet,,bisexuality,A photograph depicting bisexuality.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
268003,Bisexualitet i pressen,,bisexuality in media,A photograph depicting bisexuality in media.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141078,Bisexuella,,bisexualität,A photograph depicting bisexualität.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141079,Bisexuella föräldrar,,bisexual parents,A photograph depicting bisexual parents.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
215527,Bisexuella kvinnor,,bisexual women,A photograph depicting bisexual women.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
246797,Bisexuella män,,bisexual men,A photograph depicting bisexual men.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
161179,Bishop Hill,,Bishop Hill,A photograph depicting Bishop Hill.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141081,Biskopar,Se även resp samfund med tillägg .06.  Särsk Cjz.,bishops,A photograph depicting bishops.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141082,Biskopsdömen,,bishoprics,A photograph depicting bishoprics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166437,Biskopsgårdar,,bishopric residences,A photograph depicting bishopric residences.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166463,Biskopsinvigning,"- dogmatik Ceae, - liturgik Chab",bishop ordination,A photograph depicting bishop ordination.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
172037,Biskopsmöten,,Bishop meetings,A photograph depicting Bishop meetings.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167729,Biskopssagor,för verket i sig se Hdca,bishopric disputes,A photograph depicting bishopric disputes.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141083,Biskopssigill,,bishop's seal,A photograph depicting bishop's seal.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141084,Biskopsval,,bishop election,A photograph depicting bishop election.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143618,Biskopsvisitationer,,bishop visits,A photograph depicting bishop visits.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143619,Biskopsämbetet,se även resp samfund med tillägg .02,bishopric duties,A photograph depicting bishopric duties.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
315385,Biskviporslin,,bishopwarecelain,A photograph depicting bishopwarecelain.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141086,Bisköldkörtlar,,birch pollen grains,A photograph depicting birch pollen grains.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
231428,Bismillah,,Bismillah,A photograph depicting Bismillah.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141088,Bison,,bison,A photograph depicting bison.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141091,Biståndsarbetare,särsk Lz,aid workers,A photograph depicting aid workers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
171954,Biståndsbedömning (social omsorg),"- äldreomsorg Ohfe, - handikappomsorg Ohfh.",elder care assessment,A photograph depicting elder care assessment.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141092,Biståndspolitik,,aid policy,A photograph depicting aid policy.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141093,Biståndsutbildning,,aid training,A photograph depicting aid training.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168089,Bisysslor,,belemnites,A photograph depicting belemnites.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
384880,Bitcoin,,Bitcoin,A photograph depicting Bitcoin.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
338516,Bitpop,"Hit t.ex. Slagsmålsklubben, Thermostatic, Welle:Erdball",bitpop,A photograph depicting bitpop.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141094,Bitumen,,bitumen,A photograph depicting bitumen.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
387723,Biwa,Japanskt lutinstrument,Japanese lute,A photograph depicting Japanese lute.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141097,Bjarmaland,,Bjarmaland,A photograph depicting Bjarmaland.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
262375,Bjugnmålet 1992-1994,,Bjugn dispute 1992-1994,A photograph depicting Bjugn dispute 1992-1994.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141098,Bjälklag,,"beekeepingтрадицияльный перевод былью, что ""bjälklag"" напрямую не имеет прямого английского эквивалента в данном контексте, связанного с историческими ар","A photograph depicting beekeepingтрадицияльный перевод былью, что ""bjälklag"" напрямую не имеет прямого английского эквивалента в данном контексте, связанного с историческими ар.",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141099,Bjällror,,bellflowers,A photograph depicting bellflowers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141102,Bjärköarätt,,Bjarko island court,A photograph depicting Bjarko island court.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141103,Björk,,Björk,A photograph depicting Björk.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
233269,Björkmätare,,birch measurer,A photograph depicting birch measurer.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141105,Björkväxter,,birch trees,A photograph depicting birch trees.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141109,Björnar,,bears,A photograph depicting bears.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
276994,Björnar i litteraturen,,bears in literature,A photograph depicting bears in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168843,Björngravar,,bear graves,A photograph depicting bear graves.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141110,Björnjakt,,bear hunt,A photograph depicting bear hunt.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141113,Black English,,African American English,A photograph depicting African American English.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
337141,Black metal,,black metal,A photograph depicting black metal.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
244354,Black muslim-rörelsen,,Black Muslim movement,A photograph depicting Black Muslim movement.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
244358,Black nationalism,"- politiska åskådningar Ocgac, - minoriteter Ohe.",black nationalism,A photograph depicting black nationalism.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
247371,Black nationalism i litteraturen,,black nationalism in literature,A photograph depicting black nationalism in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
244428,Black power,,Black Power,A photograph depicting Black Power.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143620,Blad (botanik),,leaf (botany),A photograph depicting leaf (botany).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141115,Bladbaggar,,leafbinders,A photograph depicting leafbinders.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141116,Bladfotingar,,leaf feet,A photograph depicting leaf feet.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141117,Bladhorningar,,leaf horns,A photograph depicting leaf horns.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
300460,Bladlavar,,leafbinders,A photograph depicting leafbinders.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141118,Bladloppor,"- zoologi Ugjbc, - växtskydd Qdea.",leafrollers,A photograph depicting leafrollers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
144623,Bladlöss,"- zoologi Ugjbh, - växtskydd Qdea.",leaf loss,A photograph depicting leaf loss.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166389,Bladmetall,,sheet metal,A photograph depicting sheet metal.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141746,Bladmossor,,leaf molds,A photograph depicting leaf molds.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141121,Bladmögel,,mold,A photograph depicting mold.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141122,Bladsteklar,"- zoologi Ugjba, - växtskydd Qdea.",leafstalks,A photograph depicting leafstalks.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
7lwznh775vcpz22r,Bladtång,,leaf tongs,A photograph depicting leaf tongs.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
356219,Blandad kör,Tidigare Blandad kör - a cappella och Blandad kör - med ackompanjemang. Kombinera med A cappella som separat ämnesord vid behov,Mixed choir,A photograph depicting Mixed choir.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
377643,Blandade röster,Genre/formterm för musik | Ospecificerad kör,mixed voices,A photograph depicting mixed voices.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141129,Blandekonomi,,mixed economy,A photograph depicting mixed economy.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
394298,Blandrashundar,,hound mixes,A photograph depicting hound mixes.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141131,Blandspråk,"LCSH:s scopenote: Here are entered works discussing langugages resulting from the intermingling of phonological, grammatical and/or lexical elements from different languages  in areas of intensive language contact. Works discussing auxiliary, sometimes mixed, languages used among groups having no other language in common are entered under the heading Lingua francas. Works discussing lingua francas which are native to none of those using them and are characterized by a simplified grammar and often mixed vocabulary are  entered under the heading Pidgin languages.  Works discussing pidgin languages that have become established as the native language of a speech community are entered under the heading Creole dialects.",mixed languages,A photograph depicting mixed languages.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143621,Blandäktenskap,,hybridization,A photograph depicting hybridization.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141133,Blanketteknik,,embroidery technique,A photograph depicting embroidery technique.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357892,Blankning,,metal polishing,A photograph depicting metal polishing.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141132,Blankvapen,,unarmed,A photograph depicting unarmed.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141134,Blankvers,se även resp språk med tillägg .05,blank verse,A photograph depicting blank verse.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
245608,Blasonering,,Coat_of_arms,A photograph depicting Coat_of_arms.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141135,Bleckblåsensembler,,blue-and-black outfits,A photograph depicting blue-and-black outfits.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141136,Bleckblåsinstrument,,blue brass instrument,A photograph depicting blue brass instrument.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141139,Bleckslageri,,blacksmithing,A photograph depicting blacksmithing.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141140,Blekeriindustri,,bleaching industry,A photograph depicting bleaching industry.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
316974,Blekingesöm,,Blekinge sea,A photograph depicting Blekinge sea.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
283328,Blekingsekor,,Blekinge oak,A photograph depicting Blekinge oak.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141146,Blekmedel,,bleaching agents,A photograph depicting bleaching agents.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143622,Blekning,"- papper Pib, - textilier Pjb.",bleaching,A photograph depicting bleaching.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
1kxw5zh9zpksx04z,Blickspårning,,"surveillance摄像头监视（注：虽然"" Blickspårning""直译为""视线监控""，但在此上下文中更通用的翻译是""surveillance""）","A photograph depicting surveillance摄像头监视（注：虽然"" Blickspårning""直译为""视线监控""，但在此上下文中更通用的翻译是""surveillance""）.",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
391580,Blinda personer,,blind people,A photograph depicting blind people.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141149,Blindhet,,blindness,A photograph depicting blindness.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
233271,Blindhet i litteraturen,,Blindness in literature,A photograph depicting Blindness in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141150,Blindnotskrift,,braille写作,A photograph depicting braille写作.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141151,Blindskrift,medier se resp avd med tillägg /P,braille,A photograph depicting braille.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141152,Blindtarm,,appendicitis,A photograph depicting appendicitis.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141153,Blindtarmsinflammation,,appendicitis,A photograph depicting appendicitis.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141155,Bliss (klassifikationssystem),,Bliss (classification system),A photograph depicting Bliss (classification system).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141156,Bliss (symbolspråk),,Bliss symbols,A photograph depicting Bliss symbols.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
388674,"Blitzen, London, 1940-1941",,Blitz London 1940-1941,A photograph depicting Blitz London 1940-1941.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141158,Blixtaggregat,,lightning conductor assembly,A photograph depicting lightning conductor assembly.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141159,Blixtar,,lightning,A photograph depicting lightning.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141160,Blixtkrig,,lightning war,A photograph depicting lightning war.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141161,Blixtljusfotografering,,flash photography,A photograph depicting flash photography.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143623,Blixtlås,,flashlock,A photograph depicting flashlock.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143624,Blockad,"militärväsen S.01, - internationell rätt Oba.",blockade,A photograph depicting blockade.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141164,Blockad (arbetsmarknad),tidigare Blockad - arbete och arbetsmarknad. Ändrat 2003-01.,labour market blockade,A photograph depicting labour market blockade.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
339383,Blockaden mot Gazaremsan 2007-,,Gazaremsan blockade 2007,A photograph depicting Gazaremsan blockade 2007.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141167,Blockband,,block band,A photograph depicting block band.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143625,Blockböcker,,ledger books,A photograph depicting ledger books.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
s4fkctksqknjvw0j,Blockering (meteorologi),,blocking (meteorology),A photograph depicting blocking (meteorology).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
163814,Blockflöjt,,recorder,A photograph depicting recorder.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141171,Blockflöjtkonserter,,recorder concerts,A photograph depicting recorder concerts.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
gvcft9jrd6hlxgt2,Blockkedjor,,chain blocks,A photograph depicting chain blocks.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
2gz1g1gn0156bdcm,Blockkedjor--ekonomiska aspekter,,economic aspects of chains,A photograph depicting economic aspects of chains.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141174,Blockpolitik,"se även resp lands statskunskap med tillägg .06, t ex Sverige Occ.06",block politics,A photograph depicting block politics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141175,Blockundervisning,,elementary education,A photograph depicting elementary education.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141178,Blod,,blood,A photograph depicting blood.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
267333,Blod i konsten,,blood-in-art,A photograph depicting blood-in-art.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
267334,Blod i litteraturen,,Blood in literature,A photograph depicting Blood in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168730,Blod--religiösa aspekter,,blood religious aspects,A photograph depicting blood religious aspects.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141176,Blodbanker,,blood banks,A photograph depicting blood banks.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141177,Blodbildande organen,,blood-forming organs,A photograph depicting blood-forming organs.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141179,Blodfetter,,bloodletting器具,A photograph depicting bloodletting器具.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141181,Blodgrupper,,blood types,A photograph depicting blood types.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141182,Blodgruppering,,blood typing,A photograph depicting blood typing.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141183,Blodgruppsserologi,,blood group serology,A photograph depicting blood group serology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141184,Blodhund,,bloodhound,A photograph depicting bloodhound.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141185,"Blodiga söndagen, Sankt Petersburg, 1905",,"Bloody Sunday, Saint Petersburg, 1905","A photograph depicting Bloody Sunday, Saint Petersburg, 1905.",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141186,Blodiglar,,bloodletting器具请注意，翻译结果中出现了与预期不符的内容。根据指令，只需提供简洁、自然的英语名词短语作为标签，且本例中“Blodiglar”直接对应的英文标签应为“,A photograph depicting bloodletting器具请注意，翻译结果中出现了与预期不符的内容。根据指令，只需提供简洁、自然的英语名词短语作为标签，且本例中“Blodiglar”直接对应的英文标签应为“.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
150472,Blodkoagulation,,blood coagulation,A photograph depicting blood coagulation.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
279299,Blodkoagulationsstörningar,,blood coagulation disorders,A photograph depicting blood coagulation disorders.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141187,Blodkärl,,blood vessels,A photograph depicting blood vessels.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143626,Blodomlopp,,bloodflow,A photograph depicting bloodflow.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357894,Blodplättar,,blood smear,A photograph depicting blood smear.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141189,Blodpropp,,blood vessel,A photograph depicting blood vessel.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141190,Blodprov,,blood sample,A photograph depicting blood sample.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141191,Blodprov--juridik och lagstiftning,,legal-blood-sampling,A photograph depicting legal-blood-sampling.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141193,Blodsfejd,,blood feud,A photograph depicting blood feud.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
305187,Blodsfejd i litteraturen,,blood feud in literature,A photograph depicting blood feud in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141194,Blodshämnd,,blood vengeance,A photograph depicting blood vengeance.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141195,Blodsjukdomar,,blood diseases,A photograph depicting blood diseases.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
dwgw52kvbvfg0xkk,Blodsocker,,blood sugar,A photograph depicting blood sugar.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
215096,Blodspår (kriminalteknik),,bloodstains forensic,A photograph depicting bloodstains forensic.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141198,Blodsugare,,leech,A photograph depicting leech.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141199,Blodtransfusion,"- läkemedelsadministration Vmf, - blodet Ved.",blood transfusion,A photograph depicting blood transfusion.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141200,Blodtryck,,blood_pressure,A photograph depicting blood_pressure.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141202,Blodtryckssjukdomar,,blood pressure disorders,A photograph depicting blood pressure disorders.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
271578,Blogg.se,,Blogg dot se,A photograph depicting Blogg dot se.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
229353,Bloggar,"- informationsteknik Bv, - programmering och redigering Pucbb. | Även genre/formterm.",blogs,A photograph depicting blogs.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
388675,Bloggare,,blogger,A photograph depicting blogger.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
261699,Blogger,Internetjänst för att skapa egen webblogg som tillhandahålls av Google.,Blogger platform,A photograph depicting Blogger platform.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
279301,Bloggis.se,,BloggisSe,A photograph depicting BloggisSe.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
242133,Blomflugor,,flowersflies,A photograph depicting flowersflies.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
255626,Blomkrukor,,flower vases,A photograph depicting flower vases.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143627,Blommor,,flowers,A photograph depicting flowers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141204,Blommor i konsten,,flowers in art,A photograph depicting flowers in art.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
243079,Blommor i litteraturen,,flowers in literature,A photograph depicting flowers in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141206,Blomsterarrangemang,,flower arrangement,A photograph depicting flower arrangement.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141207,Blomsterbinderi,,flower shop,A photograph depicting flower shop.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141208,Blomsterhandel,,flower trade,A photograph depicting flower trade.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141209,Blomsterlökar,,flower socks,A photograph depicting flower socks.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141210,Blomstermåleri,,flower painting,A photograph depicting flower painting.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141211,Blomsterodling,,flower cultivation,A photograph depicting flower cultivation.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143628,Blomsterspråk,,flower language,A photograph depicting flower language.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
234238,Blomsterur,,flower arrangement,A photograph depicting flower arrangement.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
253877,Blondiner,"- etnologi, socialantropologi M, - skönhetsvård Qcd.",blond wave hairstyle,A photograph depicting blond wave hairstyle.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
143629,Bloomsburygruppen,,Bloomsbury Group,A photograph depicting Bloomsbury Group.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141215,Bluebeat,Jamaica,Bluebeat music,A photograph depicting Bluebeat music.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141218,Bluegrass,,bluegrass,A photograph depicting bluegrass.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141221,Blues,Särsk artister och ensembler Xxfz.,Blues乐队和艺术家,A photograph depicting Blues乐队和艺术家.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
327036,Blues i filmen,,blues in film,A photograph depicting blues in film.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
316975,Bluesmusiker,Särsk Ijz.,blues musician,A photograph depicting blues musician.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166391,Bluesrock efter 1970,,post-1970 blues rock,A photograph depicting post-1970 blues rock.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141225,Bluesrock före 1970,Kompletteras med separat geografiskt ämnesord vid behov,blues rock era 1970,A photograph depicting blues rock era 1970.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
